,Asin,country
0,000004458X,de
1,000101742X,de
2,000101742X,fr
3,000102163X,de
4,000102163X,fr
5,000103863X,de
6,000103863X,fr
7,000104317X,de
8,000104317X,fr
9,000104348X,de
10,000104348X,fr
11,000104396X,de
12,000104396X,fr
13,000106875X,es
14,000106875X,fr
15,000106875X,it
16,000107119X,de
17,000107119X,fr
18,000108142X,de
19,000108142X,es
20,000108142X,fr
21,000108173X,de
22,000108173X,fr
23,000108299X,fr
24,000108299X,it
25,000108657X,fr
26,000108657X,it
27,000108660X,de
28,000108660X,fr
29,000108688X,de
30,000108688X,fr
31,000108898X,de
32,000108898X,fr
33,000108917X,de
34,000108917X,fr
35,000109212X,de
36,000109212X,fr
37,000109257X,de
38,000109257X,fr
39,000109453X,de
40,000109453X,fr
41,000109825X,de
42,000109825X,fr
43,000110733X,de
44,000110733X,fr
45,000111252X,de
46,000111252X,fr
47,000115687X,de
48,000115687X,fr
49,000416041X,de
50,000416041X,fr
51,000416105X,de
52,000416105X,fr
53,000416198X,fr
54,000416198X,it
55,000416413X,de
56,000416413X,fr
57,000416444X,de
58,000416444X,fr
59,000416508X,de
60,000416508X,fr
61,000416511X,de
62,000416511X,fr
63,000416816X,fr
64,000416816X,it
65,000416976X,de
66,000416976X,fr
67,000417156X,de
68,000417156X,fr
69,000417173X,de
70,000417173X,fr
71,000417206X,de
72,000417206X,fr
73,000417237X,de
74,000417237X,fr
75,000417240X,de
76,000417240X,fr
77,000417268X,de
78,000417268X,fr
79,000417271X,de
80,000417271X,fr
81,000417318X,de
82,000417318X,fr
83,000417335X,de
84,000417335X,fr
85,4173384,de
86,4173473,de
87,4174194,fr
88,4174348,fr
89,4174518,de
90,4174542,de
91,4174933,de
92,4174933,fr
93,4175360,de
94,4175387,de
95,4175387,fr
96,4175522,fr
97,4175778,fr
98,4175816,de
99,4176170,de
100,4176170,fr
101,4176324,fr
102,4176367,fr
103,4176448,de
104,4176731,de
105,4176839,de
106,4176839,fr
107,4176960,de
108,4176995,fr
109,4177118,de
110,4177118,fr
111,4177134,de
112,4177347,de
113,4177371,fr
114,4177649,fr
115,4177649,it
116,4177940,de
117,4177967,fr
118,4178033,de
119,4178033,fr
120,000417805X,de
121,000417805X,fr
122,4178084,de
123,4178459,de
124,4178459,fr
125,4178491,fr
126,4178564,fr
127,000417870X,de
128,000417870X,fr
129,4178750,de
130,4178750,fr
131,4182154,de
132,4182170,de
133,4182197,de
134,4182197,fr
135,4182510,fr
136,4182634,fr
137,4183614,de
138,4184289,de
139,4184289,fr
140,4184866,de
141,4184866,fr
142,4200101,de
143,4200101,fr
144,4200128,de
145,4200128,fr
146,4200624,de
147,4200624,fr
148,4200675,de
149,4200675,fr
150,4200756,de
151,4200764,de
152,4200764,fr
153,4201183,de
154,4201183,fr
155,4201604,fr
156,4201612,de
157,4201612,fr
158,4202406,de
159,4202406,fr
160,4206827,de
161,4206827,fr
162,4207181,de
163,4207181,fr
164,000420736X,de
165,000420736X,fr
166,4208625,de
167,4208625,fr
168,4209508,de
169,4209656,de
170,4209656,fr
171,4210778,de
172,4210778,fr
173,4211170,de
174,4211308,de
175,4211308,fr
176,4211421,de
177,4211421,fr
178,000421143X,de
179,000421143X,fr
180,4211472,de
181,4211472,fr
182,4211596,fr
183,4211618,de
184,4211618,fr
185,4211634,de
186,4211634,fr
187,4211650,de
188,4211650,fr
189,4211669,de
190,4211669,fr
191,4211715,de
192,4211723,de
193,4211723,fr
194,4211782,de
195,4211782,fr
196,4211812,de
197,4211812,fr
198,4211855,de
199,4211855,fr
200,4211863,de
201,4211863,fr
202,4212029,de
203,4212029,fr
204,4480007,de
205,4480422,fr
206,4480570,fr
207,4480570,it
208,4481127,de
209,4481127,fr
210,4481429,de
211,4481429,fr
212,4482093,de
213,4482093,fr
214,4482174,fr
215,4482190,fr
216,4482204,fr
217,4484029,de
218,4484029,fr
219,4484320,de
220,4484320,fr
221,4484339,de
222,4484339,fr
223,4484347,de
224,4484355,fr
225,4484428,de
226,4484428,fr
227,4484436,de
228,4484436,fr
229,4484479,fr
230,4484568,de
231,4484568,fr
232,4484576,de
233,4484576,fr
234,4484584,de
235,4484584,fr
236,4484592,fr
237,4484606,de
238,4484606,fr
239,4484622,de
240,4484622,fr
241,4484649,de
242,4484649,fr
243,4484657,de
244,4484657,fr
245,4484665,de
246,4484665,fr
247,4484681,de
248,4484681,fr
249,4484894,de
250,4484894,fr
251,4484924,de
252,4484924,fr
253,4485742,de
254,4485742,fr
255,4486072,de
256,4486072,fr
